algorithm,instance,time
insertion,1,0.03000000
first,1,0.30000000
random,1,0.34000000
mid,1,0.33000000
median 3,1,0.32000000
median 3 random,1,0.40000000
median 9,1,0.34000000
median 9 random,1,0.41000000
dual pivot,1,0.01000000
insertion,2,0.03000000
first,2,2588.53000000
random,2,0.30000000
mid,2,0.20000000
median 3,2,0.19000000
median 3 random,2,0.30000000
median 9,2,0.20000000
median 9 random,2,0.30000000
dual pivot,2,0.24000000
insertion,3,6263.08000000
first,3,2527.34000000
random,3,0.32000000
mid,3,0.20000000
median 3,3,0.21000000
median 3 random,3,0.31000000
median 9,3,0.20000000
median 9 random,3,0.32000000
dual pivot,3,0.25000000
insertion,4,3123.33000000
first,4,0.86000000
random,4,0.87000000
mid,4,0.82000000
median 3,4,0.84000000
median 3 random,4,0.93000000
median 9,4,0.86000000
median 9 random,4,0.97000000
dual pivot,4,0.75000000
insertion,5,3112.79000000
first,5,0.85000000
random,5,0.86000000
mid,5,0.82000000
median 3,5,0.83000000
median 3 random,5,0.94000000
median 9,5,0.86000000
median 9 random,5,0.97000000
dual pivot,5,0.75000000
insertion,6,3120.26000000
first,6,0.86000000
random,6,0.87000000
mid,6,0.81000000
median 3,6,0.84000000
median 3 random,6,0.93000000
median 9,6,0.87000000
median 9 random,6,0.96000000
dual pivot,6,0.75000000
insertion,7,3113.25000000
first,7,0.86000000
random,7,0.86000000
mid,7,0.82000000
median 3,7,0.84000000
median 3 random,7,0.93000000
median 9,7,0.87000000
median 9 random,7,0.97000000
dual pivot,7,0.74000000
insertion,8,3119.56000000
first,8,0.85000000
random,8,0.87000000
mid,8,0.83000000
median 3,8,0.83000000
median 3 random,8,0.94000000
median 9,8,0.86000000
median 9 random,8,0.97000000
dual pivot,8,0.74000000
insertion,9,3110.07000000
first,9,0.85000000
random,9,0.87000000
mid,9,0.82000000
median 3,9,0.83000000
median 3 random,9,0.94000000
median 9,9,0.85000000
median 9 random,9,0.97000000
dual pivot,9,0.74000000
insertion,10,3113.95000000
