algorithm,instance,time
insertion,1,0.01000000
first,1,0.06000000
random,1,0.07000000
mid,1,0.06000000
median 3,1,0.07000000
median 3 random,1,0.09000000
median 9,1,0.06000000
median 9 random,1,0.09000000
dual pivot,1,0.01000000
insertion,2,0.00000000
first,2,104.27000000
random,2,0.06000000
mid,2,0.04000000
median 3,2,0.03000000
median 3 random,2,0.06000000
median 9,2,0.04000000
median 9 random,2,0.06000000
dual pivot,2,0.04000000
insertion,3,249.16000000
first,3,105.26000000
random,3,0.06000000
mid,3,0.04000000
median 3,3,0.04000000
median 3 random,3,0.06000000
median 9,3,0.04000000
median 9 random,3,0.07000000
dual pivot,3,0.04000000
insertion,4,123.99000000
first,4,0.15000000
random,4,0.16000000
mid,4,0.15000000
median 3,4,0.16000000
median 3 random,4,0.17000000
median 9,4,0.16000000
median 9 random,4,0.18000000
dual pivot,4,0.14000000
insertion,5,123.73000000
first,5,0.16000000
random,5,0.16000000
mid,5,0.15000000
median 3,5,0.15000000
median 3 random,5,0.17000000
median 9,5,0.16000000
median 9 random,5,0.18000000
dual pivot,5,0.14000000
insertion,6,122.50000000
first,6,0.16000000
random,6,0.16000000
mid,6,0.15000000
median 3,6,0.15000000
median 3 random,6,0.18000000
median 9,6,0.16000000
median 9 random,6,0.18000000
dual pivot,6,0.13000000
insertion,7,123.28000000
first,7,0.15000000
random,7,0.16000000
mid,7,0.16000000
median 3,7,0.15000000
median 3 random,7,0.17000000
median 9,7,0.16000000
median 9 random,7,0.18000000
dual pivot,7,0.14000000
insertion,8,124.11000000
first,8,0.15000000
random,8,0.16000000
mid,8,0.16000000
median 3,8,0.15000000
median 3 random,8,0.17000000
median 9,8,0.16000000
median 9 random,8,0.18000000
dual pivot,8,0.14000000
insertion,9,123.25000000
first,9,0.17000000
random,9,0.16000000
mid,9,0.15000000
median 3,9,0.15000000
median 3 random,9,0.17000000
median 9,9,0.16000000
median 9 random,9,0.18000000
dual pivot,9,0.14000000
insertion,10,124.04000000
first,10,0.15000000
random,10,0.16000000
mid,10,0.16000000
median 3,10,0.15000000
median 3 random,10,0.17000000
median 9,10,0.16000000
median 9 random,10,0.18000000
dual pivot,10,0.14000000
insertion,11,122.70000000
first,11,0.15000000
random,11,0.16000000
mid,11,0.16000000
median 3,11,0.15000000
median 3 random,11,0.17000000
