algorithm,instance,time
median 9,11,0.16000000
median 9 random,11,0.18000000
dual pivot,11,0.14000000
insertion,12,124.58000000
first,12,0.15000000
random,12,0.16000000
mid,12,0.15000000
median 3,12,0.16000000
median 3 random,12,0.17000000
median 9,12,0.16000000
median 9 random,12,0.18000000
dual pivot,12,0.14000000
insertion,13,123.81000000
first,13,0.16000000
random,13,0.16000000
mid,13,0.15000000
median 3,13,0.15000000
median 3 random,13,0.17000000
median 9,13,0.16000000
median 9 random,13,0.18000000
dual pivot,13,0.14000000
insertion,14,123.11000000
first,14,0.15000000
random,14,0.16000000
mid,14,0.16000000
median 3,14,0.15000000
median 3 random,14,0.17000000
median 9,14,0.16000000
median 9 random,14,0.18000000
dual pivot,14,0.14000000
insertion,15,124.17000000
first,15,0.16000000
random,15,0.16000000
mid,15,0.15000000
median 3,15,0.16000000
median 3 random,15,0.17000000
median 9,15,0.16000000
median 9 random,15,0.18000000
dual pivot,15,0.13000000
insertion,16,123.81000000
first,16,0.15000000
random,16,0.16000000
mid,16,0.16000000
median 3,16,0.15000000
median 3 random,16,0.17000000
median 9,16,0.16000000
median 9 random,16,0.18000000
dual pivot,16,0.14000000
insertion,17,123.62000000
first,17,0.16000000
random,17,0.16000000
mid,17,0.15000000
median 3,17,0.15000000
median 3 random,17,0.18000000
median 9,17,0.15000000
median 9 random,17,0.18000000
dual pivot,17,0.14000000
insertion,18,123.58000000
first,18,0.16000000
random,18,0.16000000
mid,18,0.15000000
median 3,18,0.16000000
median 3 random,18,0.17000000
median 9,18,0.16000000
median 9 random,18,0.18000000
dual pivot,18,0.14000000
insertion,19,122.50000000
first,19,0.15000000
random,19,0.16000000
mid,19,0.15000000
median 3,19,0.16000000
median 3 random,19,0.17000000
median 9,19,0.16000000
median 9 random,19,0.18000000
dual pivot,19,0.14000000
insertion,20,123.77000000
first,20,0.16000000
random,20,0.16000000
mid,20,0.15000000
median 3,20,0.15000000
median 3 random,20,0.18000000
median 9,20,0.15000000
median 9 random,20,0.18000000
dual pivot,20,0.14000000
insertion,21,123.39000000
first,21,0.16000000
random,21,0.16000000
mid,21,0.15000000
median 3,21,0.15000000
median 3 random,21,0.18000000
median 9,21,0.15000000
median 9 random,21,0.19000000
dual pivot,21,0.13000000
insertion,22,123.32000000
first,22,0.15000000
random,22,0.16000000
mid,22,0.15000000
median 3,22,0.16000000
median 3 random,22,0.17000000
median 9,22,0.16000000
median 9 random,22,0.18000000
dual pivot,22,0.14000000
insertion,23,123.28000000
first,23,0.16000000
random,23,0.16000000
mid,23,0.15000000
median 3,23,0.15000000
median 3 random,23,0.18000000
median 9,23,0.16000000
median 9 random,23,0.18000000
dual pivot,23,0.14000000
insertion,24,124.07000000
first,24,0.16000000
random,24,0.16000000
mid,24,0.15000000
median 3,24,0.15000000
median 3 random,24,0.17000000
median 9,24,0.16000000
median 9 random,24,0.18000000
dual pivot,24,0.14000000
insertion,25,123.71000000
first,25,0.16000000
random,25,0.16000000
mid,25,0.15000000
median 3,25,0.15000000
median 3 random,25,0.18000000
median 9,25,0.16000000
median 9 random,25,0.18000000
dual pivot,25,0.13000000
insertion,26,124.41000000
first,26,0.16000000
random,26,0.16000000
mid,26,0.15000000
median 3,26,0.15000000
median 3 random,26,0.18000000
median 9,26,0.15000000
median 9 random,26,0.19000000
dual pivot,26,0.13000000
insertion,27,122.67000000
first,27,0.16000000
random,27,0.16000000
mid,27,0.15000000
median 3,27,0.15000000
median 3 random,27,0.18000000
median 9,27,0.15000000
median 9 random,27,0.18000000
dual pivot,27,0.14000000
insertion,28,123.36000000
first,28,0.16000000
random,28,0.16000000
mid,28,0.15000000
median 3,28,0.15000000
median 3 random,28,0.18000000
median 9,28,0.16000000
median 9 random,28,0.18000000
dual pivot,28,0.13000000
insertion,29,123.74000000
first,29,0.16000000
random,29,0.16000000
mid,29,0.15000000
median 3,29,0.15000000
median 3 random,29,0.18000000
median 9,29,0.15000000
median 9 random,29,0.18000000
dual pivot,29,0.14000000
insertion,30,124.45000000
first,30,0.16000000
random,30,0.16000000
mid,30,0.15000000
median 3,30,0.15000000
median 3 random,30,0.18000000
median 9,30,0.15000000
median 9 random,30,0.18000000
dual pivot,30,0.14000000
insertion,31,124.23000000
first,31,0.16000000
random,31,0.16000000
mid,31,0.15000000
median 3,31,0.16000000
median 3 random,31,0.17000000
median 9,31,0.16000000
median 9 random,31,0.18000000
dual pivot,31,0.13000000
insertion,32,122.67000000
first,32,0.16000000
random,32,0.16000000
mid,32,0.15000000
median 3,32,0.15000000
median 3 random,32,0.18000000
median 9,32,0.15000000
median 9 random,32,0.19000000
dual pivot,32,0.13000000
insertion,33,123.28000000
first,33,0.16000000
random,33,0.16000000
mid,33,0.15000000
median 3,33,0.15000000
median 3 random,33,0.18000000
median 9,33,0.16000000
median 9 random,33,0.18000000
dual pivot,33,0.13000000
insertion,34,123.41000000
first,34,0.16000000
random,34,0.16000000
mid,34,0.15000000
median 3,34,0.15000000
median 3 random,34,0.18000000
median 9,34,0.15000000
median 9 random,34,0.18000000
dual pivot,34,0.14000000
insertion,35,123.30000000
first,35,0.16000000
random,35,0.16000000
mid,35,0.15000000
median 3,35,0.16000000
median 3 random,35,0.17000000
median 9,35,0.16000000
median 9 random,35,0.18000000
dual pivot,35,0.14000000
insertion,36,123.03000000
first,36,0.15000000
random,36,0.16000000
mid,36,0.15000000
median 3,36,0.15000000
median 3 random,36,0.18000000
median 9,36,0.15000000
median 9 random,36,0.18000000
dual pivot,36,0.14000000
insertion,37,123.18000000
first,37,0.16000000
random,37,0.16000000
mid,37,0.15000000
median 3,37,0.15000000
median 3 random,37,0.18000000
median 9,37,0.15000000
median 9 random,37,0.18000000
dual pivot,37,0.14000000
insertion,38,122.50000000
first,38,0.15000000
random,38,0.17000000
mid,38,0.15000000
median 3,38,0.15000000
median 3 random,38,0.17000000
median 9,38,0.15000000
median 9 random,38,0.18000000
dual pivot,38,0.14000000
insertion,39,123.11000000
first,39,0.16000000
random,39,0.16000000
mid,39,0.15000000
median 3,39,0.15000000
median 3 random,39,0.18000000
median 9,39,0.15000000
median 9 random,39,0.18000000
dual pivot,39,0.14000000
insertion,40,122.95000000
first,40,0.16000000
random,40,0.16000000
mid,40,0.15000000
median 3,40,0.15000000
median 3 random,40,0.18000000
median 9,40,0.16000000
median 9 random,40,0.18000000
dual pivot,40,0.13000000
insertion,41,124.05000000
first,41,0.16000000
random,41,0.16000000
mid,41,0.15000000
median 3,41,0.15000000
median 3 random,41,0.18000000
median 9,41,0.16000000
median 9 random,41,0.18000000
dual pivot,41,0.13000000
insertion,42,123.49000000
first,42,0.15000000
random,42,0.16000000
mid,42,0.15000000
median 3,42,0.15000000
median 3 random,42,0.18000000
median 9,42,0.16000000
median 9 random,42,0.18000000
dual pivot,42,0.14000000
insertion,43,123.77000000
first,43,0.16000000
random,43,0.16000000
mid,43,0.15000000
median 3,43,0.15000000
median 3 random,43,0.18000000
median 9,43,0.16000000
median 9 random,43,0.18000000
dual pivot,43,0.13000000
insertion,44,124.35000000
first,44,0.15000000
random,44,0.16000000
mid,44,0.16000000
median 3,44,0.15000000
median 3 random,44,0.17000000
median 9,44,0.16000000
median 9 random,44,0.18000000
dual pivot,44,0.14000000
insertion,45,124.26000000
first,45,0.16000000
random,45,0.16000000
mid,45,0.15000000
median 3,45,0.15000000
median 3 random,45,0.18000000
median 9,45,0.15000000
median 9 random,45,0.18000000
dual pivot,45,0.14000000
insertion,46,122.93000000
first,46,0.15000000
random,46,0.17000000
mid,46,0.15000000
median 3,46,0.15000000
median 3 random,46,0.17000000
median 9,46,0.16000000
median 9 random,46,0.18000000
dual pivot,46,0.14000000
insertion,47,123.18000000
first,47,0.16000000
random,47,0.16000000
mid,47,0.15000000
median 3,47,0.15000000
median 3 random,47,0.18000000
median 9,47,0.16000000
median 9 random,47,0.18000000
dual pivot,47,0.14000000
insertion,48,123.83000000
first,48,0.15000000
random,48,0.16000000
mid,48,0.16000000
median 3,48,0.15000000
median 3 random,48,0.17000000
median 9,48,0.16000000
median 9 random,48,0.18000000
dual pivot,48,0.14000000
insertion,49,123.39000000
first,49,0.16000000
random,49,0.16000000
mid,49,0.15000000
median 3,49,0.15000000
median 3 random,49,0.18000000
median 9,49,0.15000000
median 9 random,49,0.19000000
dual pivot,49,0.13000000
insertion,50,123.79000000
first,50,0.16000000
random,50,0.16000000
mid,50,0.15000000
median 3,50,0.15000000
median 3 random,50,0.18000000
median 9,50,0.15000000
median 9 random,50,0.18000000
dual pivot,50,0.14000000
insertion,51,123.42000000
first,51,0.16000000
random,51,0.16000000
mid,51,0.15000000
median 3,51,0.16000000
median 3 random,51,0.17000000
median 9,51,0.16000000
median 9 random,51,0.18000000
dual pivot,51,0.14000000
insertion,52,123.84000000
first,52,0.16000000
random,52,0.16000000
mid,52,0.15000000
median 3,52,0.15000000
median 3 random,52,0.18000000
median 9,52,0.16000000
median 9 random,52,0.18000000
dual pivot,52,0.13000000
insertion,53,123.54000000
first,53,0.16000000
random,53,0.16000000
mid,53,0.15000000
median 3,53,0.16000000
median 3 random,53,0.17000000
median 9,53,0.16000000
median 9 random,53,0.18000000
dual pivot,53,0.14000000
insertion,54,123.30000000
first,54,0.16000000
random,54,0.16000000
mid,54,0.15000000
median 3,54,0.15000000
median 3 random,54,0.18000000
median 9,54,0.15000000
median 9 random,54,0.18000000
dual pivot,54,0.14000000
insertion,55,123.55000000
first,55,0.15000000
random,55,0.16000000
mid,55,0.15000000
median 3,55,0.15000000
median 3 random,55,0.18000000
median 9,55,0.16000000
median 9 random,55,0.18000000
dual pivot,55,0.14000000
insertion,56,122.52000000
first,56,0.15000000
random,56,0.16000000
mid,56,0.16000000
median 3,56,0.15000000
median 3 random,56,0.17000000
median 9,56,0.16000000
median 9 random,56,0.18000000
dual pivot,56,0.14000000
insertion,57,123.98000000
first,57,0.15000000
random,57,0.16000000
mid,57,0.15000000
median 3,57,0.16000000
median 3 random,57,0.17000000
median 9,57,0.16000000
median 9 random,57,0.18000000
dual pivot,57,0.14000000
insertion,58,123.90000000
first,58,0.15000000
random,58,0.16000000
mid,58,0.16000000
median 3,58,0.15000000
median 3 random,58,0.17000000
median 9,58,0.16000000
median 9 random,58,0.18000000
dual pivot,58,0.14000000
insertion,59,123.96000000
first,59,0.16000000
random,59,0.16000000
mid,59,0.15000000
median 3,59,0.15000000
median 3 random,59,0.18000000
median 9,59,0.16000000
median 9 random,59,0.18000000
dual pivot,59,0.13000000
insertion,60,124.07000000
first,60,0.16000000
random,60,0.16000000
mid,60,0.15000000
median 3,60,0.15000000
median 3 random,60,0.17000000
median 9,60,0.16000000
median 9 random,60,0.18000000
dual pivot,60,0.14000000
insertion,61,124.16000000
first,61,0.16000000
random,61,0.16000000
mid,61,0.15000000
median 3,61,0.15000000
median 3 random,61,0.18000000
median 9,61,0.15000000
median 9 random,61,0.19000000
dual pivot,61,0.13000000
insertion,62,123.06000000
first,62,0.16000000
random,62,0.16000000
mid,62,0.15000000
median 3,62,0.15000000
median 3 random,62,0.18000000
median 9,62,0.15000000
median 9 random,62,0.19000000
dual pivot,62,0.13000000
insertion,63,122.81000000
first,63,0.16000000
random,63,0.16000000
mid,63,0.16000000
median 3,63,0.15000000
median 3 random,63,0.17000000
median 9,63,0.16000000
median 9 random,63,0.18000000
dual pivot,63,0.14000000
insertion,64,123.93000000
first,64,0.16000000
random,64,0.16000000
mid,64,0.15000000
median 3,64,0.15000000
median 3 random,64,0.18000000
median 9,64,0.16000000
median 9 random,64,0.18000000
dual pivot,64,0.13000000
insertion,65,124.67000000
first,65,0.16000000
random,65,0.16000000
mid,65,0.15000000
median 3,65,0.16000000
median 3 random,65,0.17000000
median 9,65,0.16000000
median 9 random,65,0.18000000
dual pivot,65,0.14000000
insertion,66,123.72000000
first,66,0.15000000
random,66,0.16000000
mid,66,0.15000000
median 3,66,0.16000000
median 3 random,66,0.17000000
median 9,66,0.16000000
median 9 random,66,0.18000000
dual pivot,66,0.14000000
insertion,67,121.94000000
first,67,0.16000000
random,67,0.16000000
mid,67,0.15000000
median 3,67,0.15000000
median 3 random,67,0.18000000
median 9,67,0.16000000
median 9 random,67,0.18000000
dual pivot,67,0.13000000
insertion,68,122.85000000
first,68,0.15000000
random,68,0.16000000
mid,68,0.15000000
median 3,68,0.16000000
median 3 random,68,0.17000000
median 9,68,0.16000000
median 9 random,68,0.18000000
dual pivot,68,0.14000000
insertion,69,123.03000000
first,69,0.16000000
random,69,0.16000000
mid,69,0.15000000
median 3,69,0.15000000
median 3 random,69,0.18000000
median 9,69,0.15000000
median 9 random,69,0.19000000
dual pivot,69,0.13000000
insertion,70,123.99000000
first,70,0.16000000
random,70,0.16000000
mid,70,0.15000000
median 3,70,0.15000000
median 3 random,70,0.17000000
median 9,70,0.16000000
median 9 random,70,0.18000000
dual pivot,70,0.14000000
insertion,71,122.65000000
first,71,0.16000000
random,71,0.16000000
mid,71,0.15000000
median 3,71,0.15000000
median 3 random,71,0.17000000
median 9,71,0.16000000
median 9 random,71,0.18000000
dual pivot,71,0.14000000
insertion,72,122.92000000
first,72,0.16000000
random,72,0.16000000
mid,72,0.15000000
median 3,72,0.16000000
median 3 random,72,0.17000000
median 9,72,0.16000000
median 9 random,72,0.18000000
dual pivot,72,0.14000000
insertion,73,124.09000000
first,73,0.15000000
random,73,0.16000000
mid,73,0.16000000
median 3,73,0.15000000
median 3 random,73,0.17000000
median 9,73,0.16000000
median 9 random,73,0.18000000
dual pivot,73,0.13000000
insertion,74,125.01000000
first,74,0.16000000
random,74,0.16000000
mid,74,0.15000000
median 3,74,0.15000000
median 3 random,74,0.17000000
median 9,74,0.16000000
median 9 random,74,0.18000000
dual pivot,74,0.14000000
insertion,75,123.21000000
first,75,0.16000000
random,75,0.16000000
mid,75,0.15000000
median 3,75,0.17000000
median 3 random,75,0.17000000
median 9,75,0.16000000
median 9 random,75,0.18000000
dual pivot,75,0.14000000
insertion,76,123.33000000
first,76,0.16000000
random,76,0.16000000
mid,76,0.15000000
median 3,76,0.15000000
median 3 random,76,0.18000000
median 9,76,0.15000000
median 9 random,76,0.19000000
dual pivot,76,0.13000000
insertion,77,122.88000000
first,77,0.16000000
random,77,0.16000000
mid,77,0.15000000
median 3,77,0.15000000
median 3 random,77,0.18000000
median 9,77,0.15000000
median 9 random,77,0.18000000
dual pivot,77,0.14000000
insertion,78,124.01000000
first,78,0.16000000
random,78,0.16000000
mid,78,0.15000000
median 3,78,0.15000000
median 3 random,78,0.18000000
median 9,78,0.15000000
median 9 random,78,0.19000000
dual pivot,78,0.13000000
insertion,79,123.87000000
first,79,0.16000000
random,79,0.16000000
mid,79,0.15000000
median 3,79,0.15000000
median 3 random,79,0.18000000
median 9,79,0.16000000
median 9 random,79,0.18000000
dual pivot,79,0.13000000
insertion,80,122.56000000
first,80,0.16000000
random,80,0.16000000
mid,80,0.15000000
median 3,80,0.15000000
median 3 random,80,0.18000000
median 9,80,0.15000000
median 9 random,80,0.19000000
dual pivot,80,0.13000000
insertion,81,124.30000000
first,81,0.15000000
random,81,0.16000000
mid,81,0.15000000
median 3,81,0.16000000
median 3 random,81,0.17000000
median 9,81,0.16000000
median 9 random,81,0.18000000
dual pivot,81,0.13000000
insertion,82,123.26000000
first,82,0.15000000
random,82,0.17000000
mid,82,0.15000000
median 3,82,0.15000000
median 3 random,82,0.18000000
median 9,82,0.15000000
median 9 random,82,0.19000000
dual pivot,82,0.13000000
insertion,83,123.92000000
first,83,0.16000000
random,83,0.16000000
mid,83,0.15000000
median 3,83,0.15000000
median 3 random,83,0.18000000
median 9,83,0.15000000
median 9 random,83,0.19000000
dual pivot,83,0.13000000
insertion,84,123.66000000
first,84,0.16000000
random,84,0.16000000
mid,84,0.15000000
median 3,84,0.16000000
median 3 random,84,0.17000000
median 9,84,0.16000000
median 9 random,84,0.18000000
dual pivot,84,0.14000000
insertion,85,124.04000000
first,85,0.16000000
random,85,0.16000000
mid,85,0.15000000
median 3,85,0.15000000
median 3 random,85,0.18000000
median 9,85,0.15000000
median 9 random,85,0.19000000
dual pivot,85,0.13000000
insertion,86,122.37000000
first,86,0.15000000
random,86,0.17000000
mid,86,0.15000000
median 3,86,0.15000000
median 3 random,86,0.17000000
median 9,86,0.16000000
median 9 random,86,0.18000000
dual pivot,86,0.14000000
insertion,87,123.28000000
first,87,0.15000000
random,87,0.16000000
mid,87,0.15000000
median 3,87,0.16000000
median 3 random,87,0.17000000
median 9,87,0.16000000
median 9 random,87,0.18000000
dual pivot,87,0.14000000
insertion,88,122.76000000
first,88,0.16000000
random,88,0.16000000
mid,88,0.15000000
median 3,88,0.15000000
median 3 random,88,0.18000000
median 9,88,0.16000000
median 9 random,88,0.18000000
dual pivot,88,0.13000000
insertion,89,123.66000000
first,89,0.16000000
random,89,0.16000000
mid,89,0.15000000
median 3,89,0.16000000
median 3 random,89,0.17000000
median 9,89,0.16000000
median 9 random,89,0.19000000
dual pivot,89,0.14000000
insertion,90,124.13000000
first,90,0.16000000
random,90,0.16000000
mid,90,0.15000000
median 3,90,0.15000000
median 3 random,90,0.18000000
median 9,90,0.16000000
median 9 random,90,0.18000000
dual pivot,90,0.14000000
insertion,91,124.40000000
first,91,0.15000000
random,91,0.16000000
mid,91,0.15000000
median 3,91,0.16000000
median 3 random,91,0.17000000
median 9,91,0.16000000
median 9 random,91,0.18000000
dual pivot,91,0.14000000
insertion,92,122.85000000
first,92,0.16000000
random,92,0.16000000
mid,92,0.15000000
median 3,92,0.16000000
median 3 random,92,0.17000000
median 9,92,0.16000000
median 9 random,92,0.18000000
dual pivot,92,0.14000000
insertion,93,123.30000000
first,93,0.16000000
random,93,0.16000000
mid,93,0.15000000
median 3,93,0.15000000
median 3 random,93,0.17000000
median 9,93,0.16000000
median 9 random,93,0.18000000
dual pivot,93,0.14000000
insertion,94,122.80000000
first,94,0.16000000
random,94,0.16000000
mid,94,0.15000000
median 3,94,0.16000000
median 3 random,94,0.17000000
median 9,94,0.16000000
median 9 random,94,0.18000000
dual pivot,94,0.14000000
insertion,95,123.77000000
first,95,0.16000000
random,95,0.16000000
mid,95,0.15000000
median 3,95,0.15000000
median 3 random,95,0.18000000
median 9,95,0.16000000
median 9 random,95,0.18000000
dual pivot,95,0.14000000
insertion,96,124.33000000
first,96,0.16000000
random,96,0.16000000
mid,96,0.15000000
median 3,96,0.15000000
median 3 random,96,0.18000000
median 9,96,0.15000000
median 9 random,96,0.18000000
dual pivot,96,0.14000000
insertion,97,124.35000000
first,97,0.16000000
random,97,0.16000000
mid,97,0.15000000
median 3,97,0.16000000
median 3 random,97,0.17000000
median 9,97,0.16000000
median 9 random,97,0.18000000
dual pivot,97,0.14000000
insertion,98,122.76000000
first,98,0.15000000
random,98,0.16000000
mid,98,0.15000000
median 3,98,0.16000000
median 3 random,98,0.17000000
median 9,98,0.16000000
median 9 random,98,0.18000000
dual pivot,98,0.13000000
insertion,99,123.47000000
first,99,0.16000000
random,99,0.16000000
mid,99,0.15000000
median 3,99,0.15000000
median 3 random,99,0.18000000
median 9,99,0.15000000
median 9 random,99,0.18000000
dual pivot,99,0.14000000
insertion,100,123.28000000
first,100,0.15000000
random,100,0.16000000
mid,100,0.16000000
median 3,100,0.15000000
median 3 random,100,0.17000000
median 9,100,0.16000000
median 9 random,100,0.18000000
dual pivot,100,0.14000000
insertion,101,123.92000000
first,101,0.15000000
random,101,0.16000000
mid,101,0.16000000
median 3,101,0.15000000
median 3 random,101,0.17000000
median 9,101,0.16000000
median 9 random,101,0.18000000
dual pivot,101,0.14000000
insertion,102,123.29000000
first,102,0.15000000
random,102,0.16000000
mid,102,0.15000000
median 3,102,0.16000000
median 3 random,102,0.17000000
median 9,102,0.16000000
median 9 random,102,0.18000000
dual pivot,102,0.13000000
insertion,103,123.36000000
first,103,0.15000000
random,103,0.17000000
mid,103,0.14000000
median 3,103,0.16000000
median 3 random,103,0.17000000
median 9,103,0.16000000
median 9 random,103,0.18000000
dual pivot,103,0.14000000
insertion,104,124.20000000
first,104,0.16000000
random,104,0.16000000
mid,104,0.15000000
median 3,104,0.15000000
median 3 random,104,0.18000000
median 9,104,0.15000000
median 9 random,104,0.19000000
dual pivot,104,0.13000000
insertion,105,123.81000000
first,105,0.16000000
random,105,0.16000000
mid,105,0.15000000
median 3,105,0.15000000
median 3 random,105,0.18000000
median 9,105,0.16000000
median 9 random,105,0.18000000
dual pivot,105,0.13000000
insertion,106,122.84000000
first,106,0.16000000
random,106,0.16000000
mid,106,0.15000000
median 3,106,0.16000000
median 3 random,106,0.17000000
median 9,106,0.16000000
median 9 random,106,0.18000000
dual pivot,106,0.14000000
insertion,107,123.66000000
first,107,0.17000000
random,107,0.21000000
mid,107,0.15000000
median 3,107,0.16000000
median 3 random,107,0.17000000
median 9,107,0.16000000
median 9 random,107,0.18000000
dual pivot,107,0.14000000
insertion,108,123.01000000
first,108,0.16000000
random,108,0.16000000
mid,108,0.15000000
median 3,108,0.16000000
median 3 random,108,0.17000000
median 9,108,0.16000000
median 9 random,108,0.18000000
dual pivot,108,0.14000000
insertion,109,124.14000000
first,109,0.15000000
random,109,0.16000000
mid,109,0.15000000
median 3,109,0.16000000
median 3 random,109,0.17000000
median 9,109,0.16000000
median 9 random,109,0.18000000
dual pivot,109,0.14000000
insertion,110,123.74000000
first,110,0.16000000
random,110,0.16000000
mid,110,0.15000000
median 3,110,0.16000000
median 3 random,110,0.17000000
median 9,110,0.16000000
median 9 random,110,0.18000000
dual pivot,110,0.14000000
insertion,111,123.26000000
first,111,0.15000000
random,111,0.16000000
mid,111,0.15000000
median 3,111,0.16000000
median 3 random,111,0.17000000
median 9,111,0.16000000
median 9 random,111,0.18000000
dual pivot,111,0.14000000
insertion,112,122.67000000
first,112,0.16000000
random,112,0.16000000
mid,112,0.15000000
median 3,112,0.15000000
median 3 random,112,0.18000000
median 9,112,0.16000000
median 9 random,112,0.18000000
dual pivot,112,0.13000000
insertion,113,123.72000000
first,113,0.16000000
random,113,0.16000000
mid,113,0.15000000
median 3,113,0.15000000
median 3 random,113,0.18000000
median 9,113,0.16000000
median 9 random,113,0.18000000
dual pivot,113,0.14000000
insertion,114,122.37000000
first,114,0.15000000
random,114,0.16000000
mid,114,0.16000000
median 3,114,0.15000000
median 3 random,114,0.17000000
median 9,114,0.16000000
median 9 random,114,0.18000000
dual pivot,114,0.14000000
insertion,115,124.30000000
first,115,0.16000000
random,115,0.16000000
mid,115,0.15000000
median 3,115,0.16000000
median 3 random,115,0.17000000
median 9,115,0.16000000
median 9 random,115,0.18000000
dual pivot,115,0.14000000
insertion,116,124.18000000
first,116,0.15000000
random,116,0.17000000
mid,116,0.15000000
median 3,116,0.15000000
median 3 random,116,0.17000000
median 9,116,0.16000000
median 9 random,116,0.18000000
dual pivot,116,0.14000000
insertion,117,123.24000000
first,117,0.16000000
random,117,0.16000000
mid,117,0.15000000
median 3,117,0.15000000
median 3 random,117,0.18000000
median 9,117,0.15000000
median 9 random,117,0.18000000
dual pivot,117,0.14000000
insertion,118,122.40000000
first,118,0.16000000
random,118,0.16000000
mid,118,0.15000000
median 3,118,0.15000000
median 3 random,118,0.18000000
median 9,118,0.15000000
median 9 random,118,0.18000000
dual pivot,118,0.14000000
insertion,119,123.40000000
first,119,0.16000000
random,119,0.16000000
mid,119,0.15000000
median 3,119,0.15000000
median 3 random,119,0.18000000
median 9,119,0.15000000
median 9 random,119,0.18000000
dual pivot,119,0.14000000
insertion,120,122.16000000
first,120,0.15000000
random,120,0.16000000
mid,120,0.15000000
median 3,120,0.15000000
median 3 random,120,0.18000000
median 9,120,0.16000000
median 9 random,120,0.18000000
dual pivot,120,0.14000000
insertion,121,123.75000000
first,121,0.16000000
random,121,0.16000000
mid,121,0.15000000
median 3,121,0.16000000
median 3 random,121,0.17000000
median 9,121,0.16000000
median 9 random,121,0.18000000
dual pivot,121,0.14000000
insertion,122,123.06000000
first,122,0.16000000
random,122,0.16000000
mid,122,0.15000000
median 3,122,0.15000000
median 3 random,122,0.18000000
median 9,122,0.15000000
median 9 random,122,0.18000000
dual pivot,122,0.14000000
insertion,123,123.53000000
first,123,0.16000000
random,123,0.16000000
mid,123,0.15000000
median 3,123,0.15000000
median 3 random,123,0.18000000
median 9,123,0.16000000
median 9 random,123,0.18000000
dual pivot,123,0.13000000
insertion,124,123.76000000
first,124,0.15000000
random,124,0.17000000
mid,124,0.15000000
median 3,124,0.15000000
median 3 random,124,0.18000000
median 9,124,0.15000000
median 9 random,124,0.18000000
dual pivot,124,0.14000000
insertion,125,123.53000000
first,125,0.15000000
random,125,0.16000000
mid,125,0.16000000
median 3,125,0.15000000
median 3 random,125,0.18000000
median 9,125,0.15000000
median 9 random,125,0.18000000
dual pivot,125,0.14000000
insertion,126,122.33000000
first,126,0.15000000
random,126,0.16000000
mid,126,0.15000000
median 3,126,0.16000000
median 3 random,126,0.17000000
median 9,126,0.16000000
median 9 random,126,0.18000000
dual pivot,126,0.14000000
insertion,127,121.92000000
first,127,0.15000000
random,127,0.16000000
mid,127,0.15000000
median 3,127,0.16000000
median 3 random,127,0.17000000
median 9,127,0.16000000
median 9 random,127,0.18000000
dual pivot,127,0.14000000
insertion,128,123.54000000
first,128,0.16000000
random,128,0.16000000
mid,128,0.15000000
median 3,128,0.15000000
median 3 random,128,0.18000000
median 9,128,0.16000000
median 9 random,128,0.18000000
dual pivot,128,0.13000000
insertion,129,123.24000000
first,129,0.16000000
