algorithm,instance,time
median 3 random,26,0.01000000
median 9,26,0.01000000
median 9 random,26,0.02000000
dual pivot,26,0.01000000
insertion,27,1.05000000
first,27,0.01000000
random,27,0.01000000
mid,27,0.01000000
median 3,27,0.01000000
median 3 random,27,0.02000000
median 9,27,0.01000000
median 9 random,27,0.01000000
dual pivot,27,0.01000000
insertion,28,1.01000000
first,28,0.01000000
random,28,0.02000000
mid,28,0.01000000
median 3,28,0.01000000
median 3 random,28,0.01000000
median 9,28,0.01000000
median 9 random,28,0.02000000
dual pivot,28,0.01000000
insertion,29,1.01000000
first,29,0.01000000
random,29,0.02000000
mid,29,0.01000000
median 3,29,0.01000000
median 3 random,29,0.01000000
median 9,29,0.02000000
median 9 random,29,0.01000000
dual pivot,29,0.01000000
insertion,30,1.01000000
first,30,0.01000000
random,30,0.01000000
mid,30,0.01000000
median 3,30,0.02000000
median 3 random,30,0.01000000
median 9,30,0.01000000
median 9 random,30,0.02000000
dual pivot,30,0.01000000
insertion,31,1.01000000
first,31,0.02000000
random,31,0.01000000
mid,31,0.01000000
median 3,31,0.01000000
median 3 random,31,0.02000000
median 9,31,0.01000000
median 9 random,31,0.01000000
dual pivot,31,0.01000000
insertion,32,1.05000000
first,32,0.01000000
random,32,0.01000000
mid,32,0.01000000
median 3,32,0.02000000
median 3 random,32,0.01000000
median 9,32,0.01000000
median 9 random,32,0.02000000
dual pivot,32,0.01000000
insertion,33,0.99000000
first,33,0.01000000
random,33,0.01000000
mid,33,0.01000000
median 3,33,0.02000000
median 3 random,33,0.01000000
median 9,33,0.01000000
median 9 random,33,0.02000000
dual pivot,33,0.01000000
insertion,34,1.01000000
first,34,0.01000000
random,34,0.01000000
mid,34,0.01000000
median 3,34,0.02000000
median 3 random,34,0.01000000
median 9,34,0.01000000
median 9 random,34,0.02000000
dual pivot,34,0.01000000
insertion,35,1.01000000
first,35,0.02000000
random,35,0.01000000
mid,35,0.01000000
median 3,35,0.01000000
median 3 random,35,0.02000000
median 9,35,0.01000000
median 9 random,35,0.01000000
dual pivot,35,0.01000000
insertion,36,1.00000000
first,36,0.01000000
random,36,0.01000000
mid,36,0.01000000
median 3,36,0.01000000
median 3 random,36,0.02000000
median 9,36,0.01000000
median 9 random,36,0.01000000
dual pivot,36,0.01000000
insertion,37,1.00000000
first,37,0.02000000
random,37,0.01000000
mid,37,0.01000000
median 3,37,0.01000000
median 3 random,37,0.02000000
median 9,37,0.01000000
median 9 random,37,0.01000000
dual pivot,37,0.01000000
insertion,38,1.01000000
first,38,0.01000000
random,38,0.01000000
mid,38,0.01000000
median 3,38,0.02000000
median 3 random,38,0.01000000
median 9,38,0.01000000
median 9 random,38,0.02000000
dual pivot,38,0.01000000
insertion,39,1.05000000
first,39,0.01000000
random,39,0.01000000
mid,39,0.01000000
median 3,39,0.01000000
median 3 random,39,0.02000000
median 9,39,0.01000000
median 9 random,39,0.01000000
dual pivot,39,0.01000000
insertion,40,1.01000000
first,40,0.01000000
random,40,0.01000000
mid,40,0.01000000
median 3,40,0.01000000
median 3 random,40,0.02000000
median 9,40,0.01000000
median 9 random,40,0.01000000
dual pivot,40,0.02000000
insertion,41,1.01000000
first,41,0.01000000
random,41,0.02000000
mid,41,0.01000000
median 3,41,0.01000000
median 3 random,41,0.01000000
median 9,41,0.02000000
median 9 random,41,0.01000000
dual pivot,41,0.01000000
insertion,42,1.01000000
first,42,0.01000000
random,42,0.01000000
mid,42,0.01000000
median 3,42,0.02000000
median 3 random,42,0.01000000
median 9,42,0.01000000
median 9 random,42,0.02000000
dual pivot,42,0.01000000
insertion,43,1.02000000
first,43,0.01000000
random,43,0.02000000
mid,43,0.01000000
median 3,43,0.01000000
median 3 random,43,0.01000000
median 9,43,0.02000000
median 9 random,43,0.01000000
dual pivot,43,0.01000000
insertion,44,1.01000000
first,44,0.02000000
random,44,0.01000000
mid,44,0.01000000
median 3,44,0.01000000
median 3 random,44,0.02000000
median 9,44,0.01000000
median 9 random,44,0.01000000
dual pivot,44,0.01000000
insertion,45,1.02000000
first,45,0.01000000
random,45,0.02000000
mid,45,0.01000000
median 3,45,0.01000000
median 3 random,45,0.01000000
median 9,45,0.02000000
median 9 random,45,0.01000000
dual pivot,45,0.01000000
insertion,46,1.01000000
first,46,0.01000000
random,46,0.01000000
mid,46,0.02000000
median 3,46,0.01000000
median 3 random,46,0.01000000
median 9,46,0.01000000
median 9 random,46,0.02000000
dual pivot,46,0.01000000
insertion,47,1.00000000
first,47,0.01000000
random,47,0.01000000
mid,47,0.01000000
median 3,47,0.01000000
median 3 random,47,0.02000000
median 9,47,0.01000000
median 9 random,47,0.02000000
dual pivot,47,0.01000000
insertion,48,1.03000000
first,48,0.01000000
random,48,0.01000000
mid,48,0.01000000
median 3,48,0.01000000
median 3 random,48,0.02000000
median 9,48,0.01000000
median 9 random,48,0.02000000
dual pivot,48,0.01000000
insertion,49,0.99000000
first,49,0.01000000
random,49,0.01000000
mid,49,0.01000000
median 3,49,0.02000000
median 3 random,49,0.01000000
median 9,49,0.01000000
median 9 random,49,0.02000000
dual pivot,49,0.01000000
insertion,50,1.02000000
first,50,0.01000000
random,50,0.01000000
mid,50,0.01000000
median 3,50,0.01000000
median 3 random,50,0.02000000
median 9,50,0.01000000
median 9 random,50,0.02000000
dual pivot,50,0.01000000
insertion,51,1.00000000
first,51,0.02000000
random,51,0.01000000
mid,51,0.01000000
median 3,51,0.01000000
median 3 random,51,0.01000000
median 9,51,0.02000000
median 9 random,51,0.01000000
dual pivot,51,0.01000000
insertion,52,1.03000000
first,52,0.01000000
random,52,0.01000000
mid,52,0.02000000
median 3,52,0.01000000
median 3 random,52,0.01000000
median 9,52,0.01000000
median 9 random,52,0.02000000
dual pivot,52,0.01000000
insertion,53,1.04000000
first,53,0.01000000
random,53,0.01000000
mid,53,0.01000000
median 3,53,0.02000000
median 3 random,53,0.01000000
median 9,53,0.01000000
median 9 random,53,0.02000000
dual pivot,53,0.01000000
insertion,54,1.03000000
first,54,0.01000000
random,54,0.01000000
mid,54,0.02000000
